amount,result,time
125900,0,1e-06
126000,0,1e-06
126100,0,1e-06
126200,0,1e-06
126300,0,0
126400,0,1e-06
126500,18072,0.015964
126600,0,1e-06
126700,0,1e-06
126800,18115,0.016568
126900,0,1e-06
127000,0,0
127100,0,1e-06
127200,0,1e-06
127300,0,1e-06
127400,0,1e-06
127500,18215,0.015748
127600,0,1e-06
127700,0,2e-06
127800,18258,0.017327
127900,0,1e-06
128000,0,1e-06
128100,0,1e-06
128200,0,1e-06
128300,0,0
128400,0,0
128500,18358,0.016967
128600,0,1e-06
128700,0,1e-06
128800,18400,0.016526
128900,0,1e-06
129000,0,1e-06
129100,18443,0.017765
129200,0,2e-06
129300,18472,0.018059
129400,0,1e-06
129500,0,0
129600,18515,0.016017
129700,0,0
129800,0,0
129900,18558,0.015058
130000,0,0
130100,0,0
130200,0,0
130300,0,1e-06
130400,0,1e-06
130500,0,0
130600,18658,0.01595
130700,0,1e-06
130800,0,1e-06
130900,18700,0.015963
131000,0,1e-06
131100,0,1e-06
131200,0,1e-06
131300,0,1e-06
131400,0,1e-06
131500,0,1e-06
131600,18800,0.017612
131700,0,1e-06
131800,0,1e-06
131900,18843,0.016484
132000,0,1e-06
132100,0,0
132200,0,1e-06
132300,0,1e-06
132400,0,0
132500,0,0
132600,18943,0.016859
132700,0,1e-06
132800,0,1e-06
132900,18986,0.016902
133000,0,0
133100,0,1e-06
133200,19029,0.017411
133300,0,1e-06
133400,19058,0.016737
133500,0,1e-06
133600,0,1e-06
133700,19100,0.016008
133800,0,1e-06
133900,0,1e-06
134000,19143,0.016153
134100,0,1e-06
134200,0,1e-06
134300,0,0
134400,0,0
134500,0,0
134600,0,1e-06
134700,19243,0.016781
134800,0,0
134900,0,0
135000,19286,0.017699
135100,0,1e-06
135200,0,1e-06
135300,0,0
135400,0,0
135500,0,1e-06
135600,0,0
135700,19386,0.01703
135800,0,1e-06
135900,0,1e-06
136000,19429,0.016669
136100,0,1e-06
136200,0,1e-06
136300,0,1e-06
136400,0,1e-06
136500,0,1e-06
136600,0,1e-06
136700,19529,0.016792
136800,0,1e-06
136900,0,1e-06
137000,19572,0.017018
137100,0,1e-06
137200,0,1e-06
137300,19615,0.017544
137400,0,0
137500,19643,0.017107
137600,0,1e-06
137700,0,1e-06
137800,19686,0.015949
137900,0,0
138000,0,0
138100,19729,0.016762
138200,0,1e-06
138300,0,1e-06
138400,0,0
138500,0,1e-06
138600,0,1e-06
138700,0,1e-06
138800,19829,0.016755
138900,0,1e-06
139000,0,1e-06
139100,19872,0.016781
139200,0,1e-06
139300,0,1e-06
